log10_EI,xM_over_L,L_raft,omega,d,rho_raft,q_w0_re,q_w0_im,Q_w0_re,Q_w0_im,F_w0_re,F_w0_im,q_w1_re,q_w1_im,Q_w1_re,Q_w1_im,F_w1_re,F_w1_im,q_w2_re,q_w2_im,Q_w2_re,Q_w2_im,F_w2_re,F_w2_im,q_w3_re,q_w3_im,Q_w3_re,Q_w3_im,F_w3_re,F_w3_im,q_w4_re,q_w4_im,Q_w4_re,Q_w4_im,F_w4_re,F_w4_im,q_w5_re,q_w5_im,Q_w5_re,Q_w5_im,F_w5_re,F_w5_im,q_w6_re,q_w6_im,Q_w6_re,Q_w6_im,F_w6_re,F_w6_im,q_w7_re,q_w7_im,Q_w7_re,Q_w7_im,F_w7_re,F_w7_im
-2.0,0.0,0.05,502.6548245743669,0.03,0.052,1.8519048531687192e-6,8.602349832999245e-8,-1.619531219423057,0.0005525869975460824,0.9225620032608456,0.0,8.133635554346565e-15,-1.6556921340382373e-15,-7.298775978619401e-10,8.399611734850657e-12,8.470261856188893e-12,0.0,-4.122929240595376e-6,2.967506127195042e-7,-0.5932522277022391,-0.2332176787713032,0.13403549783449725,0.0,-8.593647485433537e-19,2.42282195815719e-19,-2.0254248692397362e-11,-1.894386920220247e-12,2.053165981220189e-13,0.0,1.9166288637789144e-7,-3.613679998882263e-10,-0.4649646299806916,0.008441238385018916,0.006820824548387957,0.0,-3.044653064008778e-19,1.1518015367283122e-19,-5.903953629628786e-11,-4.573607175131232e-13,1.3218378413163344e-13,0.0,-2.1482412696957555e-8,-1.817450225721453e-11,-0.1258789865183085,0.0026336748761883397,0.0015572392577860553,0.0,-8.366624408557415e-19,-5.565272418204828e-20,-5.85927233390498e-11,-1.4133561748673542e-12,5.243066531401523e-13,0.0
-2.0,0.004949494949494949,0.05,502.6548245743669,0.03,0.052,1.851453291189773e-6,8.60008544118654e-8,-1.619537026360129,0.0005524309707692502,0.9225429247834094,0.0,5.923125634639603e-6,6.543816709990678e-7,-1.8770557880298726,0.006639338633979875,0.17076711536682598,0.0,-4.120638457251715e-6,2.966724992216002e-7,-0.5936601108315989,-0.2331566437921003,0.1340263114692063,0.0,2.227648106156573e-8,-5.8739558188507e-10,0.026303623419634416,0.003568920245730705,-0.0003211023297892927,0.0,1.9140283756094296e-7,-3.6127287717445e-10,-0.46474673645508463,0.008439078087123093,0.006820554420217878,0.0,-4.069438137839087e-9,-1.0738904232882538e-11,0.006971438430791321,0.0006883843570320121,-5.3942160970267815e-5,0.0,-2.140083608365304e-8,-1.816971808112987e-11,-0.12582994813958828,0.0026329592715611506,0.0015571894473521595,0.0,9.900259022925316e-10,-9.090595389464093e-13,0.0023021731788620114,0.00025250790901256147,-1.7941058230737154e-5,0.0
-2.0,0.009898989898989899,0.05,502.6548245743669,0.03,0.052,1.8500987970024374e-6,8.593293183963133e-8,-1.6195544447057924,0.0005519629517202455,0.9224856916879264,0.0,1.1845528527704135e-5,1.3086710273995477e-6,-3.7541208864459583,0.013277707446069978,0.34151156882878725,0.0,-4.113767123464483e-6,2.964381903933188e-7,-0.5948835371274642,-0.23297356357362595,0.13399875446971013,0.0,4.450908248931005e-8,-1.1747082978507032e-9,0.05261299146772916,0.007137349000725175,-0.0006421300712793972,0.0,1.9062345386682843e-7,-3.609875477667587e-10,-0.46409323263631796,0.00843259787570915,0.006819744049724562,0.0,-8.119493630003312e-9,-2.1476293341144363e-11,0.013939571416955537,0.0013766660661801036,-0.00010787271966062082,0.0,-2.115670526572095e-8,-1.8155367852600835e-11,-0.12568281603760026,0.0026308129145367863,0.0015570400144090714,0.0,1.9698475103302552e-9,-1.81799072780077e-12,0.004604180957014384,0.0005049831593132883,-3.587834106760209e-5,0.0
-2.0,0.014848484848484849,0.05,502.6548245743669,0.03,0.052,1.847841945587105e-6,8.581975814748189e-8,-1.6195834670648512,0.0005511831220380089,0.9223903109843891,0.0,1.7766486826891597e-5,1.9627758552769055e-6,-5.631204595745392,0.019914137574868044,0.5122107034941366,0.0,-4.1023182869174825e-6,2.9604778123121475e-7,-0.5969218375284394,-0.23266851226192073,0.13395283312452078,0.0,6.665398714838793e-8,-1.7618553743579198e-9,0.07893383873567582,0.010704795318774073,-0.0009630086600060911,0.0,1.893270212982869e-7,-3.6051212725474844e-10,-0.4630046483711395,0.008421799798328994,0.0068183934790004945,0.0,-1.2130879102573234e-8,-3.221065441477985e-11,0.020901103443583167,0.0020647426153543595,-0.00016178007698528253,0.0,-2.075181292928714e-8,-1.8131457131681012e-11,-0.12543753954310402,0.0026272371736485414,0.0015567909540644073,0.0,2.9293648022113476e-9,-2.7266655727226805e-12,0.006905853873171782,0.0007573930983255264,-5.380807316667375e-5,0.0
-2.0,0.019797979797979797,0.05,502.6548245743669,0.03,0.052,1.844683694815016e-6,8.566137920794963e-8,-1.6196240811214986,0.0005500917855407346,0.9222567943545537,0.0,2.3685280405104163e-5,2.6166041482255393e-6,-7.508316193265967,0.026547662454042623,0.6828418724535473,0.0,-4.086297024294982e-6,2.9550142996315604e-7,-0.5997738978080546,-0.23224161336657254,0.13388855791225782,0.0,8.866750278370265e-8,-2.3487542239879407e-9,0.10527187980272001,0.014270769345743329,-0.0012836635801872986,0.0,1.8751734248653572e-7,-3.598468084526636e-10,-0.4614818655633042,0.008406687266620713,0.006816502778238125,0.0,-1.6084497236700737e-8,-4.294047712766454e-11,0.027852759074460873,0.0027525117656749284,-0.0002156526409067779,0.0,-2.0189132282082415e-8,-1.809799567447599e-11,-0.12509403504910163,0.0026222343248140977,0.001556442258179335,0.0,3.858685230942608e-9,-3.63495617406928e-12,0.009207014675597005,0.0010097050939834548,-7.172648190573698e-5,0.0
-2.0,0.02474747474747475,0.05,502.6548245743669,0.03,0.052,1.8406253846413966e-6,8.545785919126397e-8,-1.6196762696430256,0.0005486893661327575,0.9220851581495971,0.0,2.9601191740344434e-5,3.2700642102688963e-6,-9.385464923124886,0.033177318601951056,0.8533824437801576,0.0,-4.065710436878115e-6,2.947993579591936e-7,-0.6034381598633033,-0.23169303967601979,0.13380594349830963,0.0,1.1050612421621695e-7,-2.935322535583982e-9,0.13163279927553484,0.017834782866915144,-0.0016040203887343653,0.0,1.8519972560609802e-7,-3.5899185986105385e-10,-0.45952611637068214,0.008387265057381061,0.006814072045788791,0.0,-1.9961534649639487e-8,-5.3664257007673994e-11,0.03479129281188125,0.0034398716876373526,-0.00026947882975852694,0.0,-1.9472795268200055e-8,-1.8054997673993714e-11,-0.12465218725722209,0.0026158075443731056,0.0015559939153923865,0.0,4.748224813364825e-9,-4.5427354593118245e-12,0.011507474456042797,0.001261886543175877,-8.962979795735702e-5,0.0
-2.0,0.029696969696969697,0.05,502.6548245743669,0.03,0.052,1.8356687361678772e-6,8.52092805185709e-8,-1.6197400105029165,0.000546976409516635,0.9218754233868238,0.0,3.551350677156377e-5,3.923064757836648e-6,-11.26265998462768,0.039802146850579485,1.023809805516499,0.0,-4.0405676446449206e-6,2.9394184954480146e-7,-0.6079126235213771,-0.23102301312237483,0.13370500873015181,0.0,1.3212659520688697e-7,-3.5214783726741232e-9,0.1580222418883662,0.02139634984881482,-0.001924004739434774,0.0,1.8238096895804912e-7,-3.57947629143874e-10,-0.4571389807214647,0.008363539312078207,0.006811101408242899,0.0,-2.374355436549439e-8,-6.43804959567745e-11,0.04171349887287801,0.004126721095161968,-0.0003232470756953583,0.0,-1.8608062288862273e-8,-1.8002479357029617e-11,-0.12411185091232385,0.0026079608973001217,0.0015554459111517189,0.0,5.588806052001805e-9,-5.449876351887468e-12,0.013807028977914979,0.0015139048820702339,-0.00010751425638540542,0.0
-2.0,0.03464646464646464,0.05,502.6548245743669,0.03,0.052,1.8298158501716027e-6,8.491574380205714e-8,-1.6198152766799927,0.0005449535805734781,0.9216276157454562,0.0,4.14215157676734e-5,4.575515022573974e-6,-13.139910521198248,0.0464211933032924,1.1941013706554353,0.0,-4.010879778387848e-6,2.929292518066746e-7,-0.6131948488317683,-0.23023180462236528,0.13358577663133364,0.0,1.5348596995989932e-7,-4.107140256057567e-9,0.18444580271456146,0.024954986980350643,-0.0022435424070942674,0.0,1.7906934114908722e-7,-3.567145386598629e-10,-0.45432238309435147,0.008335517536540384,0.006807591020534587,0.0,-2.7412586482335734e-8,-7.508770445800033e-11,0.04861622081802171,0.004812959381191986,-0.0003769458281393061,0.0,-1.7601283648789377e-8,-1.7940462663504498e-11,-0.1234728530136737,0.002598699325851592,0.0015547982277570995,0.0,6.371751722414364e-9,-6.356252668780521e-12,0.016105455180661577,0.0017657275990058962,-0.00012537609773941385,0.0
-2.0,0.039595959595959594,0.05,502.6548245743669,0.03,0.052,1.8230692056086128e-6,8.457736777322476e-8,-1.6199020363010648,0.000542621665142352,0.9213417655614716,0.0,4.732451417667573e-5,5.227324852218895e-6,-15.01722560976307,0.053033510537706746,1.364234582113278,0.0,-3.976659970335056e-6,2.917619743051818e-7,-0.6192819589342184,-0.22931973386756785,0.13344827439413676,0.0,1.7454167408135408e-7,-4.692227263358102e-9,0.21090901745717722,0.028510214209130337,-0.002562559311631861,0.0,1.7527455708957995e-7,-3.55293086686305e-10,-0.4510785886471258,0.008303208598867682,0.006803541066069096,0.0,-3.095121653081309e-8,-8.578440265707849e-11,0.05549636095383596,0.005498486748894463,-0.0004305635572184319,0.0,-1.6459853023218456e-8,-1.7868972704818592e-11,-0.12273499547275302,0.002588028631874232,0.0015540508444112536,0.0,7.0889735205788e-9,-7.2617393827025235e-12,0.01840250791146756,0.0020173222470922384,-0.0001432115691480174,0.0
-2.0,0.04454545454545455,0.05,502.6548245743669,0.03,0.052,1.815431657674488e-6,8.419428918369704e-8,-1.6200002526491695,0.0005399815677273356,0.9210179078215133,0.0,5.322180347340589e-5,5.878404813410684e-6,-16.894614249527898,0.05963815848478788,1.5341869176937788,0.0,-3.937923343058951e-6,2.9044048880179744e-7,-0.6261706433713558,-0.22828716909105412,0.13329253337090058,0.0,1.9525156492425346e-7,-5.2766591144762244e-9,0.23741735287385157,0.032061555281879324,-0.0028809815421086816,0.0,1.7100774971275213e-7,-3.5368384789195673e-10,-0.4474101986386264,0.008266622732426888,0.0067989517568726315,0.0,-3.434267113115266e-8,-9.646912332297245e-11,0.06235088949929085,0.006183204345227366,-0.0004840887571984206,0.0,-1.5192153264827032e-8,-1.7788038411882068e-11,-0.12189805822326909,0.002575955459553316,0.0015532037372796093,0.0,7.733054711377469e-9,-8.16621214834765e-12,0.020697916905791182,0.00226865645934335,-0.00016101692540838647,0.0
