sample_index,curve_point_index,EI,log10_EI,xM_over_L,motor_position,omega,U,power,power_input,thrust,tail_flat_ratio,eta_left_domain_re,eta_left_domain_im,eta_left_domain_abs,eta_left_domain_phase_deg,eta_right_domain_re,eta_right_domain_im,eta_right_domain_abs,eta_right_domain_phase_deg,eta_left_beam_re,eta_left_beam_im,eta_left_beam_abs,eta_left_beam_phase_deg,eta_right_beam_re,eta_right_beam_im,eta_right_beam_abs,eta_right_beam_phase_deg,alpha,alpha_domain,alpha_beam,sa_ratio_domain,sa_ratio_beam,q0_re,q0_im,q0_abs,q0_phase_deg,Q0_re,Q0_im,Q0_abs,Q0_phase_deg,F0_re,F0_im,F0_abs,F0_phase_deg,residual0_re,residual0_im,residual0_abs,residual0_phase_deg,energy_frac0,mode_index0,mode_type0,q1_re,q1_im,q1_abs,q1_phase_deg,Q1_re,Q1_im,Q1_abs,Q1_phase_deg,F1_re,F1_im,F1_abs,F1_phase_deg,residual1_re,residual1_im,residual1_abs,residual1_phase_deg,energy_frac1,mode_index1,mode_type1,q2_re,q2_im,q2_abs,q2_phase_deg,Q2_re,Q2_im,Q2_abs,Q2_phase_deg,F2_re,F2_im,F2_abs,F2_phase_deg,residual2_re,residual2_im,residual2_abs,residual2_phase_deg,energy_frac2,mode_index2,mode_type2,q3_re,q3_im,q3_abs,q3_phase_deg,Q3_re,Q3_im,Q3_abs,Q3_phase_deg,F3_re,F3_im,F3_abs,F3_phase_deg,residual3_re,residual3_im,residual3_abs,residual3_phase_deg,energy_frac3,mode_index3,mode_type3,q4_re,q4_im,q4_abs,q4_phase_deg,Q4_re,Q4_im,Q4_abs,Q4_phase_deg,F4_re,F4_im,F4_abs,F4_phase_deg,residual4_re,residual4_im,residual4_abs,residual4_phase_deg,energy_frac4,mode_index4,mode_type4,q5_re,q5_im,q5_abs,q5_phase_deg,Q5_re,Q5_im,Q5_abs,Q5_phase_deg,F5_re,F5_im,F5_abs,F5_phase_deg,residual5_re,residual5_im,residual5_abs,residual5_phase_deg,energy_frac5,mode_index5,mode_type5,q6_re,q6_im,q6_abs,q6_phase_deg,Q6_re,Q6_im,Q6_abs,Q6_phase_deg,F6_re,F6_im,F6_abs,F6_phase_deg,residual6_re,residual6_im,residual6_abs,residual6_phase_deg,energy_frac6,mode_index6,mode_type6,q7_re,q7_im,q7_abs,q7_phase_deg,Q7_re,Q7_im,Q7_abs,Q7_phase_deg,F7_re,F7_im,F7_abs,F7_phase_deg,residual7_re,residual7_im,residual7_abs,residual7_phase_deg,energy_frac7,mode_index7,mode_type7
1,1,7.2772425e-6,-5.13803315281565,0.10289024829864499,0.0051445124149322495,502.6548245743669,Inf,-0.9549610149394892,0.9549610149394892,3.615090658105431e-6,0.00032230535272650366,0.0010477460879814561,2.002525281587272e-6,0.001047748001662589,0.10950755016980938,-0.0010470243040072065,-2.266828585253793e-6,0.0010470267578689715,-179.87595368379775,-0.0005700348087760653,-0.0002678127088579811,0.0006298121388495264,-154.8350093484501,0.0005704669447967116,0.0002677729743386776,0.000630186401703398,25.145014084215852,-0.0006886121811756587,-0.0006886121811756587,0.0005940686577087885,-3.4354066688010425,-3.4629213833651487,-6.451386126632076e-9,-8.622730406218865e-10,6.5087554687116745e-9,-172.3871355046126,-0.3676247856158637,-9.164927624334356e-6,0.36762478573010504,-179.998571609715,0.36754163489329733,0.0,0.36754163489329733,0.0,0.735251181512764,2.0493830726451443e-5,0.7352511817983788,0.0015970188636231673,1.4786199093100716e-8,0,rigid,8.556536521009361e-6,7.087322561228446e-6,1.1110556166199096e-5,39.63472766256152,-0.01921595035604869,0.08846160034781683,0.09052462363458351,102.255600161922,0.1312223610220527,0.0,0.1312223610220527,0.0,0.03801896324873276,-0.18157780225492695,0.1855153358572758,-78.17418671960613,0.04308560908159201,1,rigid,1.1091135706068684e-6,1.354778534415614e-9,1.1091143980352946e-6,0.06998656913786053,-0.35004913275553895,-0.00030983067271661275,0.35004926987204343,-179.94928716110533,0.3636488669273783,0.0,0.3636488669273783,0.0,0.6997724339711117,0.00029282064055586167,0.6997724952366886,0.023975488408011097,0.00042935183634242236,2,elastic,9.441873516396745e-6,7.523367801991337e-6,1.2072698065622041e-5,38.54814498199633,0.4140126009871059,0.05975717620995605,0.41830294510641003,8.213157092138033,-0.3340229694064801,0.0,0.3340229694064801,180.0,-0.8302717914206974,-0.12528371989415085,0.8396709225044358,-171.41909925456565,0.050870887777313134,3,elastic,-2.0579428663653576e-6,1.0758324434131032e-9,2.057943147572233e-6,179.97004744210201,0.20410957718049721,0.0006010822208366267,0.2041104622419869,0.16872983283057913,-0.1953881788178293,0.0,0.1953881788178293,180.0,-0.4074861734552507,-0.0005969061094332692,0.40748661064396474,-179.91607033906445,0.001478180211660372,4,elastic,4.7733547544231796e-5,1.7568405436688957e-5,5.0863940377691146e-5,20.20621567625978,-2.0201520286752808,-0.6109059873855811,2.1105023914661656,-163.1743712110733,0.4033049855776541,0.0,0.4033049855776541,0.0,4.016349195462596,1.1971723995036312,4.190976331838003,16.597991579381763,0.9029852190470479,5,elastic,1.3778231135776973e-6,-5.868432169238773e-10,1.3778232385519927e-6,-0.02440345005180499,-0.051285575519677114,-0.0003518227376870465,0.05128678227012549,-179.60695299612485,-0.07443235415754315,0.0,0.07443235415754315,180.0,0.10174899965665613,0.0002986270556054397,0.10174943788173253,0.1681591058847001,0.0006625942291991586,6,elastic,-3.902258975817097e-7,-1.1163785126429806e-6,1.1826145756899856e-6,-109.26688102943535,0.3251006807081419,0.2078004719486292,0.38583868227404344,32.58622792991668,-0.2655057498962992,0.0,0.2655057498962992,180.0,-0.664484708700344,-0.41915528650206035,0.7856405554063546,-147.75637388167877,0.0004881430306459012,7,elastic
2,12,4.44304930723083e-5,-4.352318867101365,0.1402432870864868,0.007012164354324341,502.6548245743669,Inf,-0.024782306010680325,0.024782306010680325,3.4640242546030276e-8,0.00032230535984559294,-0.00014535341102724374,5.272547468973955e-5,0.0001546207934868827,160.06227391997703,0.00014526822292026874,-5.2676692736212044e-5,0.00015452407756734283,-19.93149344733245,7.077893643732443e-5,8.093246395741897e-6,7.124014654968785e-5,6.523177855564278,-7.463636994352511e-5,-8.095814895057528e-6,7.507416291349357e-5,-173.8093244028145,-0.000625699593488201,-0.000625699593488201,0.05237198690494859,-3.4981980430417505,-1.5789864301901468,2.097914229197433e-8,5.1578781706024294e-11,2.0979205697014083e-8,0.1408656516390608,-0.3672721227027931,-5.513194883841463e-6,0.3672721227441729,-179.99913992165776,0.3675416348932819,0.0,0.3675416348932819,0.0,0.7345381248683952,4.835531321901305e-6,0.7345381248843116,0.0003771833306731323,1.158529143047448e-5,0,rigid,-1.914921921918749e-6,-5.530584412584562e-7,1.9931883018150164e-6,-163.8904819079733,-0.20362089669445982,-0.006531985302054894,0.20372564002265925,-178.16263017973554,0.17886102476445342,0.0,0.17886102476445342,0.0,0.4076409649167619,0.013798297938138405,0.40787442835296545,1.9386729269056318,0.10457443815180414,1,rigid,9.756612726911706e-7,-4.521210027799223e-11,9.75661273738734e-7,-0.002655083889772197,-0.2988089612048939,-0.00028755809234446106,0.2988090995702846,-179.94486156002964,0.3078630842747684,0.0,0.3078630842747684,0.0,0.5973252405144602,0.00028799122287366606,0.5973253099397364,0.02762428106120551,0.02505688126753337,2,elastic,-5.485863951495784e-6,-5.263145655717885e-7,5.511053467011e-6,-174.51980787658886,0.4872728576265827,0.00917260937049137,0.4873591843212145,1.0784301471336055,-0.40836960648376086,0.0,0.40836960648376086,180.0,-0.9718985354070445,-0.016488627666167724,0.9720383932585542,-179.02804858954158,0.7994625595616043,3,elastic,-1.101012095878765e-6,2.150617752111836e-10,1.1010121168828788e-6,179.9888083591964,0.12138453650817126,0.00030429448160180985,0.12138491791995863,0.1436324057774312,-0.02060889197030698,0.0,0.02060889197030698,180.0,-0.24193950244114584,-0.0002847719167069675,0.24193967003472944,-179.93256073831844,0.03190899145785325,4,elastic,-1.1188316023130393e-6,9.312210974924932e-8,1.1227002634980158e-6,175.2421488111972,-0.06687160406205694,-0.025007094430823586,0.07139444097200173,-159.49637214995974,0.37311575452447143,0.0,0.37311575452447143,0.0,0.13698850310217559,0.050226164589351585,0.14590585180701768,20.13521461514434,0.03317848336074484,5,elastic,4.5503081685702784e-7,-7.746215615499101e-13,4.550308168576872e-7,-9.75374514261645e-5,-0.012738507822928485,-0.0001335794187285429,0.012739208178529703,-179.39920306871701,-0.270509052081765,0.0,0.270509052081765,180.0,0.024582630320849896,0.0001330987548945806,0.024582990639263627,0.31021588401020783,0.005450175674323413,6,elastic,1.1625296171082049e-7,6.586042548951427e-9,1.1643937076004014e-7,3.242493819103736,-0.056631592523852164,-0.008234061757072583,0.05722706566657872,-171.72733788285902,-0.08363606972549815,0.0,0.08363606972549815,180.0,0.11516856987411782,0.01628854676610183,0.11631472925902826,8.050077341671738,0.0003568852347061244,7,elastic
3,24,0.000319759893085173,-3.4951760099585067,0.17802819728851316,0.008901409864425659,502.6548245743669,Inf,-0.030662686167569873,0.030662686167569873,3.0710298238637133e-7,0.0003223053614216178,0.00013470902437658132,-7.80215387835184e-5,0.00015567235388031636,-30.07880857266836,-0.00013450924810118486,7.794039433542362e-5,0.0001554588141402971,149.91016828764174,-5.165434127302173e-5,1.862675589144166e-6,5.1687914764480386e-5,177.93478681648435,4.1095100877996723e-5,-1.8701005434011832e-6,4.1137629880866455e-5,-2.605541648563989,-0.0013726663309828204,-0.0013726663309828204,-0.22441527389830107,-3.159240476958536,-0.944029955822817,5.3933648325868476e-8,-2.173614421242099e-10,5.39340863252079e-8,-0.23091013168086633,-0.36684882510418837,-1.866121758487604e-5,0.3668488255788267,-179.997085423384,0.36754163489065844,0.0,0.36754163489065844,0.0,0.7336818572123839,2.151700293354661e-5,0.733681857527903,0.0016803379331111123,0.00016674359508640738,0,rigid,2.5061111430055314e-6,1.5166070739004329e-7,2.5106959256872464e-6,3.4631081923842086,-0.19481530648192516,0.001202002296201841,0.19481901459859227,179.64649192159408,0.22705048107016754,0.0,0.22705048107016754,0.0,0.38893945335779956,-0.003194583969845694,0.38895257261651367,-0.4705926881728277,0.3613355940374131,1,rigid,8.302616861656849e-7,3.380136366528702e-10,8.302617549712288e-7,0.023326083873075734,-0.24684673205943322,-0.0002487206736089324,0.24684685736382203,-179.94226927804982,0.23614038847825475,0.0,0.23614038847825475,0.0,0.4933415001487098,0.00025293611744540414,0.4933415649888614,0.029375535489856615,0.03951414373424512,2,elastic,3.196532584906394e-6,-3.4017853754794244e-7,3.21458271067593e-6,-6.0746165638632315,-0.1407629064540422,0.06132723476487423,0.15354225984169778,156.45832530476693,-0.44429044570375065,0.0,0.44429044570375065,180.0,0.2765042683476592,-0.1230548620606054,0.3026501437158571,-23.990873641832895,0.5923408963088519,3,elastic,-2.8140714181583004e-7,-3.0445533655089856e-11,2.814071434627863e-7,-179.9938011502999,0.051129378262466454,0.00010529377629189665,0.051129486681226355,0.11799244714370158,0.15664994549032166,0.0,0.15664994549032166,0.0,-0.1012356416950382,-0.00012766280032071978,0.1012357221893376,-179.92774742512177,0.004539340329469447,4,elastic,-1.7381938466448588e-7,5.961072280756467e-10,1.7382040682545843e-7,179.80350698816704,0.1106694382510992,-0.0007256960990396566,0.110671817540158,-0.3757019860751333,0.24069744041427824,0.0,0.24069744041427824,0.0,-0.22290349208478863,0.0019360617618962295,0.22291189990383936,179.5023614146677,0.0017319048688598663,5,elastic,7.766420582708812e-8,-1.3439496280576105e-12,7.766420583871638e-8,-0.0009914817352234396,0.004674005262288719,-1.6605896948161687e-5,0.004674034761072717,-0.2035607051281482,-0.35866729836753264,0.0,0.35866729836753264,180.0,-0.010188946704726809,1.0494729342922243e-5,0.01018895210956982,179.94098472557943,0.00034575169704522947,6,elastic,-2.1143282408223515e-8,6.266450159847566e-11,2.1143375270605556e-8,179.83018715425797,0.03942487414615837,-0.00011828803535763619,0.03942505159793371,-0.1719063155672665,0.14748125124342423,0.0,0.14748125124342423,0.0,-0.07975739018470573,0.0006749308447768248,0.07976024586672627,179.5151575829741,2.562542902876829e-5,7,elastic
4,35,0.00195226278559809,-2.709461724244222,0.22891881465911862,0.011445940732955932,502.6548245743669,Inf,-0.008025082808487516,0.008025082808487516,1.4435839819190043e-6,0.00032230543932779316,6.79734617044894e-5,-3.434320962209958e-5,7.615673012438992e-5,-26.804931307501615,-6.626196874749444e-5,3.210504668780025e-5,7.363003819854885e-5,154.14902546324626,-1.9378401020700388e-5,-8.351467416888895e-7,1.939638874118673e-5,-177.53226327611716,6.448356919335315e-6,1.1112223027303288e-6,6.543402934652957e-6,9.777545713451195,-0.033727587422574375,-0.033727587422574375,-0.7956446696263672,-1.7255869532009567,-0.30160071436263014,5.154928052567184e-8,4.083361312898323e-9,5.1710754803291014e-8,4.529100355807342,-0.366878147503757,3.7322447421947005e-5,0.3668781494021599,179.9941713107593,0.36754163380172206,0.0,0.36754163380172206,0.0,0.7337425053423596,-9.09713526589647e-5,0.7337425109817951,-0.007103683511991316,0.001002943145570726,0,rigid,1.3772428087346238e-6,1.4397915518259447e-7,1.3847482628038677e-6,5.968113257332714,-0.27422098546895074,0.0014399609112704728,0.274224766129882,179.69913708671217,0.2919544520489578,0.0,0.2919544520489578,0.0,0.5480806466648984,-0.0033316191458963576,0.54809077253202,-0.3482797031395057,0.7192108300217227,1,rigid,8.205432583781332e-7,-1.3525757980783412e-8,8.206547294683427e-7,-0.9443727180121294,-0.23667625909494913,0.0017137800231775383,0.2366824637803725,179.58512676086062,0.11811765638344905,0.0,0.11811765638344905,0.0,0.4723110927782552,-0.0036509221330090994,0.47232520321682064,-0.4428823853142433,0.2526012607917131,2,elastic,2.5560208381057175e-7,-1.5671371608603834e-8,2.560820515701979e-7,-3.508503778042679,0.12005418990435117,0.01846690810709504,0.1214661895698795,8.744778876039568,-0.4224678592036286,0.0,0.4224678592036286,180.0,-0.2422043729063556,-0.03687986403540408,0.24499608696105915,-171.34221526547216,0.024596473298981934,3,elastic,-8.24058728069066e-8,1.4294365374218936e-10,8.2405996783949e-8,179.90061315323558,0.03547712044696336,-0.0006169322317812949,0.035482484137767986,-0.9962491407912609,0.34111132608169836,0.0,0.34111132608169836,0.0,-0.06954773772897183,0.0012677338794765862,0.06955929105739235,178.9557135870512,0.002547019057318272,4,elastic,-5.166147687130766e-10,-2.5999679240534455e-10,5.783503707213591e-10,-153.28525231800236,0.034174663409135185,0.0033881515929344366,0.0343422071268634,5.661927775372983,-0.029295521379427952,0.0,0.029295521379427952,180.0,-0.06990916192578674,-0.006628696585908244,0.0702227209640434,-174.58348189495413,1.2545749076203178e-7,5,elastic,8.654434596528972e-9,7.053937569490234e-12,8.654437471241722e-9,0.04669984591986664,0.00846615128607754,-0.00019045968466570857,0.008468293363496292,-1.288743297117218,-0.24946651437321218,0.0,0.24946651437321218,180.0,-0.01708511777871588,0.00038676639281227704,0.01708949495319281,178.7031814461255,2.8092620308821606e-5,6,elastic,-5.94482692289323e-9,-2.3219731782801198e-11,5.944872269367968e-9,-179.7762111690582,0.012509429810974951,0.0014189910410880322,0.012589653282374257,6.4716102954209624,0.31030090032081836,0.0,0.31030090032081836,0.0,-0.0250172980425038,-0.002679840704188724,0.025160420257763803,-173.88581895611014,1.3255606893748197e-5,7,elastic
5,46,0.0119193496947287,-1.9237474385299345,0.44389764308929436,0.022194882154464718,502.6548245743669,Inf,-0.021912701088423463,0.021912701088423463,2.2694551395164324e-7,0.0003223053257517556,0.00010969440210397102,-5.3505236451230466e-5,0.00012204782743109262,-26.001561928843202,-0.00010950653404748215,5.339553056010101e-5,0.0001218308814828451,154.00607611392115,-2.3792840656163664e-5,-1.8617288355980722e-6,2.3865567262206276e-5,-175.52586835424742,1.0537734222295244e-5,1.8618312405701844e-6,1.0700946598693757e-5,10.019743857633042,-0.0017791284654479263,-0.0017791284654479263,-0.6652116666768101,-3.0496066011689016,-0.41583746531283494,6.788643810978115e-8,-7.432766603178458e-11,6.78864787997955e-8,-0.0627321153023023,-0.3651307589506452,-2.093017717066338e-5,0.3651307595505293,-179.99671566750916,0.3659991549316412,0.0,0.3659991549316412,0.0,0.7302379935240448,2.1906725069775826e-5,0.7302379938526395,0.0017188408439525063,0.0007661249134560228,0,rigid,2.3138247058992008e-6,2.447729542175815e-7,2.3267356035325383e-6,6.038698664748495,-0.5180709653264004,0.002456425462830933,0.5180767888453244,179.72833498414096,0.5478590897293024,0.0,0.5478590897293024,0.0,1.0355300603283817,-0.005672354698366326,1.035545596027295,-0.3138477056415445,0.8999680473842913,1,rigid,7.680356396999186e-7,-4.2828788454220255e-11,7.680356408940722e-7,-0.003195045504008955,-0.22609602120461844,-0.00018542587103531418,0.22609609724033922,-179.9530105953022,-0.5022477287126004,0.0,0.5022477287126004,180.0,0.4469423059407259,0.00014510321029706004,0.44694232949515433,0.018601508832830765,0.0980608757959185,2,elastic,-8.478214881105046e-8,-3.913616589117834e-9,8.487242869051011e-8,-177.35705390734205,0.26888109252618503,0.028553017892700372,0.2703928933031631,6.0616357167198505,0.3492691981956836,0.0,0.3492691981956836,0.0,-0.5334831258238604,-0.05688983960394095,0.5365078744892371,-173.91306760173612,0.0011974745156409148,3,elastic,6.45137257526211e-9,-3.9010423521592605e-14,6.451372575380055e-9,-0.00034645846270738414,0.026256087449955574,-5.309931330754711e-7,0.026256087455324876,-0.0011587280675193188,-0.2121662496468394,0.0,0.2121662496468394,180.0,-0.0586607444466129,-5.559966168406078e-7,0.05866074444924781,-179.99945694075538,6.918903397661975e-6,4,elastic,-1.8216687569113676e-9,-7.632446826090137e-11,1.823266981098028e-9,-177.600818657825,0.04997633731797907,0.0060445633900379,0.05034055063561198,6.896341375905775,0.0937209336516543,0.0,0.0937209336516543,0.0,-0.09500010653616005,-0.01185770347402967,0.09573727264529618,-172.88526305713015,5.526288502721977e-7,5,elastic,-8.784969234785376e-11,-2.3820912269874303e-15,8.784969238014959e-11,-179.99844639440346,0.008641063252204841,7.155830610488036e-7,0.008641063281834246,0.004744773646340813,0.0005338651755745909,0.0,0.0005338651755745909,0.0,-0.02303959331092767,-1.1204829159587431e-6,0.023039593338173854,-179.9972135383996,1.2829611625880054e-9,6,elastic,1.6576003228548107e-10,-6.8655978631154144e-12,1.6590215410687632e-10,-2.371772386747849,0.017531093279893124,0.0025235070241199026,0.01771178475730485,8.19115621452149,-0.06816837054787139,0.0,0.06816837054787139,180.0,-0.030734230399617674,-0.0048001064188400895,0.031106815007148722,-171.1231935638749,4.575484301613174e-9,7,elastic
