sample_index,curve_point_index,EI,log10_EI,xM_over_L,motor_position,omega,U,power,power_input,thrust,tail_flat_ratio,eta_left_domain_re,eta_left_domain_im,eta_left_domain_abs,eta_left_domain_phase_deg,eta_right_domain_re,eta_right_domain_im,eta_right_domain_abs,eta_right_domain_phase_deg,eta_left_beam_re,eta_left_beam_im,eta_left_beam_abs,eta_left_beam_phase_deg,eta_right_beam_re,eta_right_beam_im,eta_right_beam_abs,eta_right_beam_phase_deg,alpha_domain,alpha_beam,sa_ratio_domain,sa_ratio_beam,q0_re,q0_im,q0_abs,q0_phase_deg,Q0_re,Q0_im,Q0_abs,Q0_phase_deg,F0_re,F0_im,F0_abs,F0_phase_deg,residual0_re,residual0_im,residual0_abs,residual0_phase_deg,energy_frac0,mode_index0,mode_type0,q1_re,q1_im,q1_abs,q1_phase_deg,Q1_re,Q1_im,Q1_abs,Q1_phase_deg,F1_re,F1_im,F1_abs,F1_phase_deg,residual1_re,residual1_im,residual1_abs,residual1_phase_deg,energy_frac1,mode_index1,mode_type1,q2_re,q2_im,q2_abs,q2_phase_deg,Q2_re,Q2_im,Q2_abs,Q2_phase_deg,F2_re,F2_im,F2_abs,F2_phase_deg,residual2_re,residual2_im,residual2_abs,residual2_phase_deg,energy_frac2,mode_index2,mode_type2,q3_re,q3_im,q3_abs,q3_phase_deg,Q3_re,Q3_im,Q3_abs,Q3_phase_deg,F3_re,F3_im,F3_abs,F3_phase_deg,residual3_re,residual3_im,residual3_abs,residual3_phase_deg,energy_frac3,mode_index3,mode_type3,q4_re,q4_im,q4_abs,q4_phase_deg,Q4_re,Q4_im,Q4_abs,Q4_phase_deg,F4_re,F4_im,F4_abs,F4_phase_deg,residual4_re,residual4_im,residual4_abs,residual4_phase_deg,energy_frac4,mode_index4,mode_type4,q5_re,q5_im,q5_abs,q5_phase_deg,Q5_re,Q5_im,Q5_abs,Q5_phase_deg,F5_re,F5_im,F5_abs,F5_phase_deg,residual5_re,residual5_im,residual5_abs,residual5_phase_deg,energy_frac5,mode_index5,mode_type5,q6_re,q6_im,q6_abs,q6_phase_deg,Q6_re,Q6_im,Q6_abs,Q6_phase_deg,F6_re,F6_im,F6_abs,F6_phase_deg,residual6_re,residual6_im,residual6_abs,residual6_phase_deg,energy_frac6,mode_index6,mode_type6,q7_re,q7_im,q7_abs,q7_phase_deg,Q7_re,Q7_im,Q7_abs,Q7_phase_deg,F7_re,F7_im,F7_abs,F7_phase_deg,residual7_re,residual7_im,residual7_abs,residual7_phase_deg,energy_frac7,mode_index7,mode_type7
1,1,7.2772425e-6,-5.13803315281565,0.10272092421705661,0.005136046210852831,502.6548245743669,Inf,-0.9549671689956434,0.9549671689956434,-4.349157335562008e-6,0.0003223053529095887,0.0010472469119293842,2.1869780738352613e-6,0.0010472491954729433,0.11965127797318317,-0.0010475325186358065,-2.082394224805225e-6,0.0010475345884338062,-179.8861016330503,-0.0005697152149000078,-0.00026778613568867313,0.0006295115888970071,-154.82482929980299,0.0005707942982839351,0.0002678018584693479,0.0006304950169137632,25.13474991792942,0.0002724796303640486,0.0015609877172784968,-3.8380472747447607,-3.067271694459176,-3.54665552716994e-9,3.411976776357976e-10,3.563029789887975e-9,174.50490454078235,-0.3675871219431845,5.421586867403129e-6,0.3675871219831663,179.99915493762649,0.3675416348932973,0.0,0.3675416348932973,0.0,0.7351753542770962,-9.90438436483566e-6,0.7351753543438129,-0.0007718966902857057,4.431522798887047e-9,0,rigid,8.556545586141605e-6,7.087353141805747e-6,1.1110582654585816e-5,39.63481929157889,-0.01899987527215761,0.08846199024216739,0.09047938427046719,102.12183705720737,0.13100641144343547,0.0,0.13100641144343547,0.0,0.037586819484733414,-0.18157859392966577,0.18542803124784665,-78.30493180272259,0.04309111682875484,1,rigid,1.1029280099018139e-6,-5.360801691114377e-10,1.1029281401831777e-6,-0.02784871585109174,-0.3503419911402954,-0.00033115292304510896,0.3503421476477035,-179.9458424633843,0.36386546493489746,0.0,0.36386546493489746,0.0,0.7003595536742919,0.0003378837212425131,0.7003596351791431,0.027641958462388413,0.0004246278903838403,2,elastic,9.44452028382844e-6,7.523400264041163e-6,1.2074788400821834e-5,38.54043896380109,0.4136204632743195,0.059756667098004965,0.4179147603302909,8.220768211841943,-0.33360856115377296,0.0,0.33360856115377296,180.0,-0.829488298099485,-0.1252834935180678,0.8388961738094124,-171.41113027220635,0.05089476798658416,3,elastic,-2.074421478506519e-6,-4.2570228379918416e-10,2.0744215221867533e-6,-179.9882420500843,0.20492526597273183,0.0006123107150045688,0.20492618075396465,0.17119760781235663,-0.19613216627329833,0.0,0.19613216627329833,180.0,-0.40910981553750003,-0.0006139631843762575,0.4091102762335836,-179.91401459584588,0.0015021320079441434,4,elastic,4.7729164367683245e-5,1.7568481241405495e-5,5.0859853168947906e-5,20.208001345699017,-2.019887196111597,-0.610907272759259,2.1102492698555126,-163.1722564380798,0.403188355870082,0.0,0.403188355870082,0.0,4.015821464413673,1.1971762145183371,4.190471682597799,16.600102738329298,0.9029512118403242,5,elastic,1.3633575198549014e-6,2.3221141469016765e-10,1.3633575396303968e-6,0.00975880038367927,-0.05098506048166838,-0.0004224733587664757,0.05098681080493513,-179.52524550910718,-0.07340670768119757,0.0,0.07340670768119757,180.0,0.10116286583264036,0.0004435226684208133,0.10116383808372534,0.25119705726055913,0.0006488340149048364,6,elastic,-3.8690135401738915e-7,-1.1163833296335876e-6,1.1815262995059673e-6,-109.11461608824094,0.32500803226849423,0.20780038966392972,0.3857605772801565,32.593628749222766,-0.2660451588620858,0.0,0.2660451588620858,180.0,-0.6643020605800837,-0.41915611617880133,0.7854865227494625,-147.74921465055468,0.00048730499958108336,7,elastic
2,24,0.000319759893085173,-3.4951760099585067,0.17812394940844334,0.008906197470422168,502.6548245743669,Inf,-0.030672599742384572,0.030672599742384572,8.4471789531831e-8,0.0003223053603485883,0.00013463862382796416,-7.799615041440867e-5,0.0001555987098460495,-30.083711383034846,-0.00013461669081393627,7.798724175234564e-5,0.00015557526577780195,149.91507857208984,-5.162938266333907e-5,1.8662372809588124e-6,5.166310091144682e-5,177.9298418743158,4.1124771088260166e-5,-1.8670524501196425e-6,4.116713108674561e-5,-2.59942651129611,-0.0001506814190837699,-0.22327819247718758,-4.118745927071617,-0.9463048630803621,5.4777742146800835e-8,-2.386363234314102e-11,5.4777747344832914e-8,-0.024960600364876247,-0.36683792536299886,-1.642723769455227e-5,0.36683792573081,-179.9974342582289,0.36754163489062586,0.0,0.36754163489062586,0.0,0.7336598674142356,1.674076805644902e-5,0.7336598676052324,0.0013073842496742686,0.00017202944525330084,0,rigid,2.5065321491714434e-6,1.5168157462608185e-7,2.511117423560886e-6,3.4630031869185927,-0.19493201109111863,0.0012021452599315393,0.19493571786938887,179.64666154006275,0.22717259972980633,0.0,0.22717259972980633,0.0,0.38917274527190504,-0.0031950010960320077,0.38918586009061884,-0.47037200833942694,0.3615168087309051,1,rigid,8.280631377196166e-7,3.710976084015754e-11,8.28063138551156e-7,0.0025677180598967673,-0.24661831507824145,-0.0002441792654626381,0.24661843596038083,-179.94327089300126,0.2359404048648904,0.0,0.2359404048648904,0.0,0.4928856809636259,0.0002446420696091088,0.4928857416772364,0.028438555775188907,0.03931165759384818,2,elastic,3.1962699839231468e-6,-3.4022534324831186e-7,3.2143265382217323e-6,-6.075941545672335,-0.14067889554763766,0.06133587959699638,0.1534686996701294,156.44283899033172,-0.44432660806431207,0.0,0.44432660806431207,180.0,0.27633644440955374,-0.12307200009411687,0.3025037978539785,-24.006763448016297,0.5923446081672139,3,elastic,-2.81878119207787e-7,-3.3425472558452138e-12,2.818781192276052e-7,-179.9993205792237,0.05105556603744811,8.542428257333012e-5,0.05105563750177132,0.09586508723663856,0.15707251003629596,0.0,0.15707251003629596,0.0,-0.10108530269487494,-8.788012784543224e-5,0.10108534089486645,-179.9501890084329,0.004555302079001339,4,elastic,-1.7360163455545707e-7,5.961892474014652e-10,1.7360265828018066e-7,179.80323345765245,0.11066396387959229,-0.0007258670710484477,0.11066634440763162,-0.3758090871228005,0.24025882968024687,0.0,0.24025882968024687,0.0,-0.22289449783282186,0.0019363992700095764,0.22290290892287323,179.50225458388778,0.0017278546008372682,5,elastic,7.768155287311855e-8,-1.4754932019919281e-13,7.768155287325869e-8,-0.00010882832544859477,0.004636850896339071,-2.2175432816919563e-5,0.004636903922306463,-0.2740111880284973,-0.3587075325239756,0.0,0.3587075325239756,180.0,-0.010113146525662697,2.1504500955373815e-5,0.010113169389122522,179.8781669695841,0.00034596347367763815,6,elastic,-2.120351560121545e-8,6.267312367581283e-11,2.120360822528605e-8,179.83064624350163,0.039429035878114124,-0.0001182874403173124,0.039429213309374406,-0.17188730630950189,0.1480128972031475,0.0,0.1480128972031475,0.0,-0.07976495168317972,0.0006750068388296808,0.07976780773753571,179.5151489593052,2.5775909263297647e-5,7,elastic
3,46,0.0119193496947287,-1.9237474385299345,0.4432225341643458,0.022161126708217294,502.6548245743669,Inf,-0.021874493692650706,0.021874493692650706,8.923222135289642e-8,0.00032230543411936643,0.000109533336551304,-5.342043325863756e-5,0.00012186588737461267,-25.99892476069627,-0.00010947540002991454,5.3386601126723966e-5,0.00012179898354080685,154.00343279447867,-2.3760709670616925e-5,-1.860131803752678e-6,2.3833409625537863e-5,-175.52367026926294,1.0545266827896246e-5,1.8601633843535964e-6,1.0708074536909929e-5,10.003943231540148,-0.0005491462803856031,-0.6640872362845032,-3.5601261777341824,-0.41682686380321216,6.858091670942736e-8,-2.292187301952274e-11,6.85809205400283e-8,-0.019150028851522078,-0.36514987581128716,-2.047670341086854e-5,0.3651498763854286,-179.99678699416248,0.3660272301319558,0.0,0.3660272301319558,0.0,0.7302760612352986,2.077786054570128e-5,0.7302760615308851,0.0016301831313559284,0.0007834888371059508,0,rigid,2.3117439738027564e-6,2.44558332651221e-7,2.3246438390606213e-6,6.038833304589901,-0.5175714951871278,0.002454286904368051,0.5175773141806429,179.72830955980785,0.547332857161418,0.0,0.547332857161418,0.0,1.0345316951479608,-0.005667396352186123,1.0345472186648255,-0.3138759740534601,0.9002000651174241,1,rigid,7.663021365023462e-7,-1.3207948177835423e-11,7.66302136616172e-7,-0.000987547405252758,-0.22591776523241455,-0.00021299994127248577,0.22591786564276709,-179.94598037014575,-0.5007812806360225,0.0,0.5007812806360225,180.0,0.44659843083406725,0.0002005648565398748,0.4465984758703424,0.025731212275783094,0.09781968628247069,2,elastic,-8.441276310001543e-8,-3.910185055869846e-9,8.450327876094793e-8,-177.34782921070402,0.26860174935705683,0.028527895232949643,0.27011245910563497,6.0625936332787775,0.34685274726057946,0.0,0.34685274726057946,0.0,-0.5329456698460643,-0.056839870681499385,0.5359681500861406,-173.91228688233215,0.0011895242849516811,3,elastic,6.3431288560171275e-9,-1.2030452851095967e-14,6.343128856028536e-9,-0.00010866784983316747,0.02617684728089378,-1.445015121000155e-6,0.026176847320777664,-0.0031628433628150166,-0.20903412067733482,0.0,0.20903412067733482,180.0,-0.05846548748244945,1.109797562319928e-6,0.058465487492982596,179.99891240594812,6.702445024525195e-6,4,elastic,-1.7752089971209849e-9,-7.625754551539865e-11,1.7768461376009253e-9,-177.54026090562706,0.049933524756464044,0.006039250199250658,0.050297409849549474,6.896188619408581,0.09017666532280538,0.0,0.09017666532280538,0.0,-0.09496302350874081,-0.011847293211447802,0.0956991859440804,-172.8886979132667,5.259274489509744e-7,5,elastic,-1.0851687042672461e-10,-7.346530335824643e-16,1.0851687042921139e-10,-179.99961211083527,0.008614497694537655,2.4464162596878993e-7,0.008614497698011423,0.0016271329048412788,0.004135076400634791,0.0,0.004135076400634791,0.0,-0.022924753946686836,-3.6951547770740607e-7,0.022924753949664877,-179.99907647090194,1.9616463459052957e-9,6,elastic,1.7559137667761196e-10,-6.859577970230852e-12,1.7572531227307205e-10,-2.2371549388770635,0.017517070925858476,0.002521291429188861,0.017697589787664805,8.190524447907212,-0.07148343027310036,0.0,0.07148343027310036,180.0,-0.03077524102024222,-0.004795894656237926,0.03114668626688449,-171.14248982431508,5.143927515991854e-9,7,elastic
