branch_index,edge_source,sweep_file,iteration,target_log10_EI,sample_index,curve_point_index,EI,log10_EI,xM_over_L,motor_position,omega,U,power,power_input,thrust,tail_flat_ratio,eta_left_beam_re,eta_left_beam_im,eta_left_beam_abs,eta_left_beam_phase_deg,eta_right_beam_re,eta_right_beam_im,eta_right_beam_abs,eta_right_beam_phase_deg,alpha_beam,sa_ratio_beam
1,beam,sweep_motor_position_EI_coupled_from_matlab.jld2,1,-4.746837858814247,11,19,1.791274490575426e-5,-4.746837858814247,0.11963994057892106,0.005981997028946053,502.6548245743669,Inf,-0.039160194634869756,0.039160194634869756,2.635512053246244e-6,0.0003223053516644136,0.00010680451289007444,5.128277909459706e-6,0.0001069275605632277,2.748977337940503,-0.0001065531116327669,-4.9395858385820046e-6,0.0001066675447682265,-177.34578430243744,-0.0024346570047349796,-2.832196654301677
1,beam,sweep_motor_position_EI_coupled_from_matlab.jld2,1,-4.7070284650092535,12,21,1.9632315963224532e-5,-4.7070284650092535,0.12159042078055618,0.00607952103902781,502.6548245743669,Inf,-0.03370637344811956,0.03370637344811956,2.6154078770496277e-6,0.0003223053553609171,9.738734228547729e-5,5.554189917027446e-6,9.754559684098058e-5,3.264153984201944,-9.73430114367575e-5,-5.322381351575974e-6,9.748840761253773e-5,-176.8703798817898,-0.000586453871834821,-2.9171807444395137
1,beam,sweep_motor_position_EI_coupled_from_matlab.jld2,1,-4.667217802733541,13,23,2.151702365283957e-5,-4.667217802733541,0.12351593597618175,0.006175796798809088,502.6548245743669,Inf,-0.029893789605670174,0.029893789605670174,3.7435918333482935e-6,0.00032230535695061614,9.035677602252361e-5,5.93160706993884e-6,9.055126136955048e-5,3.7558789174264744,-9.010875632315767e-5,-5.509297090298159e-6,9.027701989174972e-5,-176.50126097535698,-0.0030331632322734368,-2.5672868078861146
1,beam,sweep_motor_position_EI_coupled_from_matlab.jld2,1,-4.627418420573823,14,25,2.3582051280304597e-5,-4.627418420573823,0.12566176688010663,0.006283088344005332,502.6548245743669,Inf,-0.027205348020851627,0.027205348020851627,1.9133351105738687e-6,0.00032230536269366584,8.438309607573967e-5,6.0980310180210746e-6,8.460314938360308e-5,4.133352975908375,-8.511158543603741e-5,-5.792446553307887e-6,8.530846624168567e-5,-176.1066198334807,0.008302018694230322,-2.332602467275617
1,beam,sweep_motor_position_EI_coupled_from_matlab.jld2,1,-4.5876248127414065,15,27,2.5844919706127257e-5,-4.5876248127414065,0.12791309416746532,0.006395654708373267,502.6548245743669,Inf,-0.025336120878563913,0.025336120878563913,-3.44004964475418e-6,0.0003223053552567547,7.896390872222283e-5,5.705247609287876e-6,7.916974631116879e-5,4.132515460133106,-8.211757547069845e-5,-6.597066898119129e-6,8.238214304595453e-5,-175.40690221438948,0.039753506751662775,-1.6927870740663777
1,beam,sweep_motor_position_EI_coupled_from_matlab.jld2,1,-4.547832804397181,16,27,2.8324822408923472e-5,-4.547832804397181,0.13019263578466067,0.006509631789233034,502.6548245743669,Inf,-0.024168554299881406,0.024168554299881406,-5.810352215342825e-6,0.00032230534647141026,7.542480233307808e-5,2.224819735570731e-6,7.545760816405253e-5,1.6895745920034728,-7.930367938561616e-5,-1.0502093911729595e-5,7.999604703125892e-5,-172.45628133967392,0.05833988115013506,-1.230037945798756
1,beam,sweep_motor_position_EI_coupled_from_matlab.jld2,1,-4.508040796052956,17,27,3.1042679707255844e-5,-4.508040796052956,0.13247217740185604,0.006623608870092803,502.6548245743669,Inf,-0.023460941703313826,0.023460941703313826,1.5408502651148835e-5,0.00032230535907256817,7.72877213329737e-5,4.10042461357022e-6,7.7396416912251e-5,3.0369244168073624,-7.281222593063381e-5,-9.101362190431907e-6,7.337884598912064e-5,-172.87511230598602,-0.053254364650428564,-1.3512574093769951
1,beam,sweep_motor_position_EI_coupled_from_matlab.jld2,1,-4.468248787708731,18,27,3.4021324105590346e-5,-4.468248787708731,0.13475171901905142,0.006737585950952571,502.6548245743669,Inf,-0.023142234729585265,0.023142234729585265,1.3312527974256837e-5,0.000322305350774816,7.494145327228719e-5,6.052821852436779e-6,7.518549109329367e-5,4.617604353606588,-7.203214801211322e-5,-7.70642659821149e-6,7.244321471437203e-5,-173.89338560063655,-0.03713817675875302,-1.6445548966819006
1,beam,sweep_motor_position_EI_coupled_from_matlab.jld2,1,-4.428456779364506,19,27,3.7285778960219176e-5,-4.428456779364506,0.13703126063624677,0.006851563031812339,502.6548245743669,Inf,-0.023273130793163652,0.023273130793163652,1.1159913810833082e-5,0.00032230535155794237,7.334721939608602e-5,6.846877645238199e-6,7.366610025395968e-5,5.333039517352165,-7.186480365581185e-5,-7.5849186207043886e-6,7.226396747322345e-5,-173.97506418216253,-0.019214728968912836,-1.9450824818801216
1,beam,sweep_motor_position_EI_coupled_from_matlab.jld2,1,-4.388697868945725,20,29,4.08603545799456e-5,-4.388697868945725,0.1398071098130949,0.006990355490654746,502.6548245743669,Inf,-0.023860380804862566,0.023860380804862566,1.4788406758067942e-5,0.00032230535736893213,7.358654224805358e-5,7.344318876567742e-6,7.395213465333698e-5,5.6995416819552105,-7.117349913368765e-5,-7.908500070896213e-6,7.161153086133826e-5,-173.65954305518326,-0.03215086360538833,-1.7689239033441173
