branch_index,edge_source,sweep_file,iteration,target_log10_EI,sample_index,curve_point_index,EI,log10_EI,xM_over_L,motor_position,omega,U,power,power_input,thrust,tail_flat_ratio,eta_left_beam_re,eta_left_beam_im,eta_left_beam_abs,eta_left_beam_phase_deg,eta_right_beam_re,eta_right_beam_im,eta_right_beam_abs,eta_right_beam_phase_deg,alpha_beam,sa_ratio_beam
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-5.09803315281565,1,1,7.979337729296528e-6,-5.09803315281565,0.15622209498233805,0.007811104749116903,502.6548245743669,NaN,-1.2006864605728454e-10,1.2006864605728454e-10,-0.0,0.0003223053789173452,0.00041445069315997133,-1.968656695556763e-15,0.00041445069315997133,-2.7215715120552635e-10,-0.0004326225677856662,-1.8883955286643624e-14,0.0004326225677856662,-179.99999999749903,0.042885347474411015,-1.6685212410449979
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-5.078034788948644,2,1,8.355360853379667e-6,-5.078034788948644,0.15747432747427662,0.007873716373713832,502.6548245743669,NaN,-1.740758305087393e-11,1.740758305087393e-11,-0.0,0.0003223053789161348,0.00042123037278663905,-2.761433629893546e-15,0.00042123037278663905,-3.7561036102810135e-10,-0.00044317094636640847,-3.2221166403253888e-15,0.00044317094636640847,-179.99999999958342,0.050732100085546274,-1.5954674440863854
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-5.058048925920747,3,2,8.748852085236292e-6,-5.058048925920747,0.1589123538175794,0.00794561769087897,502.6548245743669,NaN,2.0899936301847071e-10,-2.0899936301847071e-10,-0.0,0.0003223053789102406,0.000431590643744815,-2.1992024002044687e-15,0.000431590643744815,-2.9195492917418103e-10,-0.0004538831138323053,2.846764625619068e-14,0.0004538831138323053,179.99999999640642,0.05031961583038714,-1.5990175021407151
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-5.038075393763363,4,3,9.16061447541179e-6,-5.038075393763363,0.16051255250530858,0.008025627625265428,502.6548245743669,NaN,3.96624207892997e-11,-3.96624207892997e-11,-0.0,0.000322305379001412,0.0004451208976533344,-4.683098572180101e-16,0.0004451208976533344,-6.028065288424943e-11,-0.0004655997168781141,5.4126643639349296e-15,0.0004655997168781141,179.99999999933394,0.044950052227361974,-1.6480802548033193
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-5.0181141822645,5,4,9.591484244494943e-6,-5.0181141822645,0.16225973110041106,0.008112986555020553,502.6548245743669,NaN,4.225646339301903e-11,-4.225646339301903e-11,-0.0,0.00032230537897550435,0.00046173349945001756,5.01198686706041e-16,0.00046173349945001756,6.219295216821127e-11,-0.00047894951721493874,5.4904743859604755e-15,0.00047894951721493874,179.9999999993432,0.036590972519831524,-1.7375106011030093
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-4.998164415433423,6,5,1.004235534287324e-5,-4.998164415433423,0.16413306552752632,0.008206653276376317,502.6548245743669,NaN,1.9459539908469954e-10,-1.9459539908469954e-10,-0.0,0.00032230537897122576,0.0004815049236425409,-4.468382285194583e-15,0.0004815049236425409,-5.317068084286822e-10,-0.0004945500985342138,2.0939618466353277e-14,0.0004945500985342138,179.99999999757404,0.026725634864866076,-1.8740243945114872
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-4.978225294398455,7,6,1.0514163001059205e-5,-4.978225294398455,0.16611650083976615,0.008305825041988308,502.6548245743669,NaN,8.194343289964257e-11,-8.194343289964257e-11,-0.0,0.00032230537897189005,0.0005047148780493781,-6.199484698659584e-15,0.0005047148780493781,-7.037722164282548e-10,-0.0005130116770764159,8.970876866762706e-15,0.0005130116770764159,179.9999999989981,0.016303490595629008,-2.088720536210537
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-4.95829548980283,8,7,1.1007900876639115e-5,-4.95829548980283,0.1681914589845435,0.008409572949227175,502.6548245743669,NaN,2.5189865703691477e-10,-2.5189865703691477e-10,-0.0,0.0003223053789306913,0.00053181235064923,-1.2520399420647056e-14,0.00053181235064923,-1.3489082074633387e-9,-0.0005350425235061261,2.855859225255909e-14,0.0005350425235061261,179.99999999694177,0.006055450133839095,-2.5188795822807504
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-4.93837278451543,9,8,1.1524635951846687e-5,-4.93837278451543,0.1703335137149122,0.008516675685745611,502.6548245743669,NaN,1.157104728291112e-10,-1.157104728291112e-10,-0.0,0.0003223053789372462,0.0005634397687111782,2.798492815043072e-16,0.0005634397687111782,2.8457669515664752e-11,-0.0005615264992196117,1.2734420284375604e-14,0.0005615264992196117,179.99999999870062,-0.0034014601361701834,-2.7693633539105034
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-4.91845369369558,10,9,1.2065527290658238e-5,-4.91845369369558,0.17250893228835149,0.008625446614417574,502.6548245743669,NaN,-4.842608938420941e-10,4.842608938420941e-10,-0.0,0.0003223053789657802,0.0006004907172521192,1.2449254012724771e-14,0.0006004907172521192,1.1878446952177537e-9,-0.0005936174297622487,-5.4468812720425776e-14,0.0005936174297622487,-179.9999999947427,-0.011511620269842184,-2.2398791518242382
